,index,name,uri,wikipedia,abstract,cid,type,related_to,createdAt,abstract_contents,article_contents,category,super_category,relrel_concepts,link_ratio,entropy
0,6,Cross-validation (statistics),,https://en.wikipedia.org/wiki/Cross-validation (statistics),"Cross-validation, sometimes called rotation estimation or out-of-sample testing, is any of various similar model validation techniques for assessing how the results of a statistical analysis will generalize to an independent data set.
Cross-validation includes resampling and sample splitting methods that use different portions of the data to test and train a model on different iterations. It is often used in settings where the goal is prediction, and one wants to estimate how accurately a predictive model will perform in practice. It can also be used to assess the quality of a fitted model and the stability of its parameters.
In a prediction problem, a model is usually given a dataset of known data on which training is run (training dataset), and a dataset of unknown data (or first seen data) against which the model is tested (called the validation dataset or testing set). The goal of cross-validation is to test the model's ability to predict new data that was not used in estimating it, in order to flag problems like overfitting or selection bias and to give an insight on how the model will generalize to an independent dataset (i.e., an unknown dataset, for instance from a real problem).
One round of cross-validation involves partitioning a sample of data into complementary subsets, performing the analysis on one subset (called the training set), and validating the analysis on the other subset (called the validation set or testing set). To reduce variability, in most methods multiple rounds of cross-validation are performed using different partitions, and the validation results are combined (e.g. averaged) over the rounds to give an estimate of the model's predictive performance.
In summary, cross-validation combines (averages) measures of fitness in prediction to derive a more accurate estimate of model prediction performance.",69b034ff4fe79d0745c1eecd_concept_2690892228648090783,related_concept,"Training, validation, and test data sets",2025-05-13 10:28:06.199,[],[],set(),set(),0,2.274698795180723,0.96065676095176
1,7,Hyperparameter (machine learning),,https://en.wikipedia.org/wiki/Hyperparameter (machine learning),"In machine learning, a hyperparameter is a parameter that can be set in order to define any configurable part of a model's learning process. Hyperparameters can be classified as either model hyperparameters (such as the topology and size of a neural network) or algorithm hyperparameters (such as the learning rate and the batch size of an optimizer). These are named hyperparameters in contrast to parameters, which are characteristics that the model learns from the data.
Hyperparameters are not required by every model or algorithm. Some simple algorithms such as ordinary least squares regression require none. However, the LASSO algorithm, for example, adds a regularization hyperparameter to ordinary least squares which must be set before training. Even models and algorithms without a strict requirement to define hyperparameters may not produce meaningful results if these are not carefully chosen. However, optimal values for hyperparameters are not always easy to predict. Some hyperparameters may have no meaningful effect, or one important variable may be conditional upon the value of another. Often a separate process of hyperparameter tuning is needed to find a suitable combination for the data and task. 
As well as improving model performance, hyperparameters can be used by researchers to introduce robustness and reproducibility into their work, especially if it uses models that incorporate random number generation.",69b034ff4fe79d0745c1eecd_concept_8256327622413766642,related_concept,"Training, validation, and test data sets",2025-05-13 10:28:06.199,[],[],set(),set(),0,1.0452830188679245,0.9111352274182685
2,18,Learning curve (machine learning),,https://en.wikipedia.org/wiki/Learning curve (machine learning),"In machine learning (ML), a learning curve (or training curve) is a graphical representation that shows how a model's performance on a training set (and usually a validation set) changes with the number of training iterations (epochs) or the amount of training data.
Typically, the number of training epochs or training set size is plotted on the x-axis, and the value of the loss function (and possibly some other metric such as the cross-validation score) on the y-axis.
Synonyms include error curve, experience curve, improvement curve and generalization curve.
More abstractly, learning curves plot the difference between learning effort and predictive performance, where ""learning effort"" usually means the number of training samples, and ""predictive performance"" means accuracy on testing samples.
Learning curves have many useful purposes in ML, including:

choosing model parameters during design,
adjusting optimization to improve convergence,
and diagnosing problems such as overfitting (or underfitting).
Learning curves can also be tools for determining how much a model benefits from adding more training data, and whether the model suffers more from a variance error or a bias error. If both the validation score and the training score converge to a certain value, then the model will no longer significantly benefit from more training data.",69b034ff4fe79d0745c1eecd_concept_3138417903572277694,related_concept,"Training, validation, and test data sets",2025-05-13 10:28:06.199,['Learning'],[],set(),set(),0,1.4746835443037976,0.9112904012543628
3,23,List of probability journals,,https://en.wikipedia.org/wiki/List of probability journals,"This is a list of peer-reviewed scientific journals published in the field of probability.

Advances in Applied Probability
ALEA - Latin American Journal of Probability and Mathematical Statistics
Annales de l’Institut Henri Poincaré
Annals of Applied Probability
Annals of Probability
Bernoulli
Brazilian Journal of Probability and Statistics
Combinatorics, Probability and Computing
Communications on Stochastic Analysis
Electronic Communications in Probability
Electronic Journal of Probability
ESAIM: Probability and Statistics
Finance and Stochastics
Journal of Applied Probability
Journal of Theoretical Probability
Markov Processes and Related Fields
Methodology and Computing in Applied Probability
Modern Stochastics: Theory and Applications
Probability and Mathematical Statistics
Probability in the Engineering and Informational Sciences
Probability Surveys
Probability Theory and Related Fields
Queueing Systems
Random Matrices: Theory and Applications
Random Operators and Stochastic Equations
Random Structures & Algorithms
Stochastics: An International Journal of Probability and Stochastic Processes
Statistics & Probability Letters
Stochastic Analysis and Applications
Stochastics and Dynamics
Stochastic Models
Stochastic Processes and their Applications
Stochastic Systems
Theory of Probability and Its Applications
Theory of Probability and Mathematical Statistics
Theory of Stochastic Processes",69b034ff4fe79d0745c1eecd_concept_3341914459958499888,related_concept,Probability theory,2025-05-13 10:28:06.199,"['Process', 'Algorithm', 'Statistic', 'Statistics', 'Probability']",[],set(),set(),0,0.6363636363636364,5.453041468805429e-305
4,30,Mathematical psychology,,https://en.wikipedia.org/wiki/Mathematical psychology,"Mathematical psychology is an approach to psychological research that is based on mathematical modeling of perceptual, thought, cognitive and motor processes, and on the establishment of law-like rules that relate quantifiable stimulus characteristics with quantifiable behavior (in practice often constituted by task performance). The mathematical approach is used with the goal of deriving hypotheses that are more exact and thus yield stricter empirical validations. There are five major research areas in mathematical psychology: learning and memory, perception and psychophysics, choice and decision-making, language and thinking, and measurement and scaling.
Although psychology, as an independent subject of science, is a more recent discipline than physics, the application of mathematics to psychology has been done in the hope of emulating the success of this approach in the physical sciences, which dates back to at least the seventeenth century. Mathematics in psychology is used extensively roughly in two areas: one is the mathematical modeling of psychological theories and experimental phenomena, which leads to mathematical psychology; the other is the statistical approach of quantitative measurement practices in psychology, which leads to psychometrics.
As quantification of behavior is fundamental in this endeavor, the theory of measurement is a central topic in mathematical psychology. Mathematical psychology is therefore closely related to psychometrics. However, where psychometrics is concerned with individual differences (or population structure) in mostly static variables, mathematical psychology focuses on process models of perceptual, cognitive and motor processes as inferred from the 'average individual'. Furthermore, where psychometrics investigates the stochastic dependence structure between variables as observed in the population, mathematical psychology almost exclusively focuses on the modeling of data obtained from experimental paradigms and is therefore even more closely related to experimental psychology, cognitive psychology, and psychonomics. Like computational neuroscience and econometrics, mathematical psychology theory often uses statistical optimality as a guiding principle, assuming that the human brain has evolved to solve problems in an optimized way. Central themes from cognitive psychology (e.g., limited vs. unlimited processing capacity, serial vs. parallel processing) and their implications are central in rigorous analysis in mathematical psychology. 
Mathematical psychologists are active in many fields of psychology, especially in psychophysics, sensation and perception, problem solving, decision-making, learning, memory, language, and the quantitative analysis of behavior, and contribute to the work of other subareas of psychology such as clinical psychology, social psychology, educational psychology, and psychology of music.",69b034ff4fe79d0745c1eecd_concept_3285627547888531400,related_concept,Probability theory,2025-05-13 10:28:06.199,['Mathematical psychology'],[],set(),set(),0,3.251497005988024,0.8286290680252474
5,31,Random variable,,https://en.wikipedia.org/wiki/Random variable,"A random variable (also called random quantity, aleatory variable, or stochastic variable) is a  mathematical formalization of a quantity or object which depends on random events. The term 'random variable' in its mathematical definition refers to neither randomness nor variability but instead is a mathematical function in which

the domain is the set of possible outcomes in a sample space (e.g. the set 
  
    
      
        {
        H
        ,
        T
        }
      
    
    {\displaystyle \{H,T\}}
  
 which are the possible upper sides of a flipped coin heads  
  
    
      
        H
      
    
    {\displaystyle H}
  
 or tails 
  
    
      
        T
      
    
    {\displaystyle T}
  
 as the result from tossing a coin); and
the range is a measurable space (e.g. corresponding to the domain above, the range might be the set 
  
    
      
        {
        −
        1
        ,
        1
        }
      
    
    {\displaystyle \{-1,1\}}
  
 if say heads 
  
    
      
        H
      
    
    {\displaystyle H}
  
 mapped to −1 and 
  
    
      
        T
      
    
    {\displaystyle T}
  
 mapped to 1). Typically, the range of a random variable is a subset of the real numbers.

Informally, randomness typically represents some fundamental element of chance, such as in the roll of a die; it may also represent uncertainty, such as measurement error. However, the interpretation of probability is philosophically complicated, and even in specific cases is not always straightforward. The purely mathematical analysis of random variables is independent of such interpretational difficulties, and can be based upon a rigorous axiomatic setup.
In the formal mathematical language of measure theory, a random variable is defined as a measurable function from a probability measure space (called the sample space) to a measurable space. This allows consideration of the pushforward measure, which is called the distribution of the random variable; the distribution is thus a probability measure on the set of all possible values of the random variable. It is possible for two random variables to have identical distributions but to differ in significant ways; for instance, they may be independent.
It is common to consider the special cases of discrete random variables and absolutely continuous random variables, corresponding to whether a random variable is valued in a countable subset or in an interval of real numbers. There are other important possibilities, especially in the theory of stochastic processes, wherein it is natural to consider random sequences or random functions. Sometimes a random variable is taken to be automatically valued in the real numbers, with more general random quantities instead being called random elements.
According to George Mackey, Pafnuty Chebyshev was the first person ""to think systematically in terms of random variables"".",69b034ff4fe79d0745c1eecd_concept_5266766406243389102,related_concept,Probability theory,2025-05-13 10:28:06.199,[],[],set(),set(),0,3.0651340996168583,5.430717119732058e-305
6,35,Information theory,,https://en.wikipedia.org/wiki/Information theory,"Information theory is the mathematical study of the quantification, storage, and communication of a particular type of mathematically defined information. The field was established and formalized by Claude Shannon in the 1940s, though early contributions were made in the 1920s through the works of Harry Nyquist and Ralph Hartley. 
Information theory was initially formed in the context of telecommunication but soon found a wide range of other applications. It is now at the intersection mathematics, statistics and computer science, and has applications in diverse fields ranging from electrical engineering and physics to neurobiology.
As a simple example of the concept, if one flips a fair coin and does not yet know the outcome (heads or tails), then they lack a certain amount of information. After looking at the coin, they will know the outcome and gain some information. For a fair coin, the probability of either heads or tails is 1/2 and the amount of information is expressed as 
  
    
      
        −
        
          log
          
            2
          
        
        ⁡
        (
        1
        
          /
        
        2
        )
      
    
    {\displaystyle -\log _{2}(1/2)}
  
 = 1 bit of information.
A key measure in information theory is information entropy. Entropy is equal to the lack of information about a random variable or the outcome of a random process. In the above coin flip example, the entropy in the case where you don't know the outcome is 1 bit. In the case where you do know the outcome, the entropy is zero. As another example, knowing the outcome of a fair coin flip (which has two equally likely outcomes) provides less information (lower entropy, less uncertainty) than identifying the outcome from a roll of a die (which has six equally likely outcomes). A simple way to look at information entropy in bits is approximately the average minimum number of yes/no questions you need to ask in order to recover complete information. (Exact for 2n possibilities and converges to exact for infinite possibilities). For the coin flip example, you only need to ask one question, e.g. ""Is it heads?"". ""Yes"" means its heads, ""No"" means it's tails, and you have your one bit of complete information.
Some other important measures in information theory are mutual information, channel capacity, error exponents, and relative entropy. Important sub-fields of information theory include source coding, algorithmic complexity theory, algorithmic information theory and information-theoretic security.
Applications of fundamental topics of information theory include source coding/data compression (e.g. for ZIP files), and channel coding/error detection and correction (e.g. for DSL). Its impact has been crucial to the success of the Voyager missions to deep space, the invention of the compact disc, the feasibility of mobile phones and the development of the Internet and artificial intelligence. The theory has also found applications in other areas, including statistical inference, cryptography, neurobiology, perception, signal processing, linguistics, the evolution and function of molecular codes (bioinformatics), thermal physics, molecular dynamics, black holes, quantum computing, information retrieval, intelligence gathering, plagiarism detection, pattern recognition, anomaly detection, the analysis of music, art creation, imaging system design, study of outer space, the dimensionality of space, and epistemology.",69b034ff4fe79d0745c1eecd_concept_3432244228918469942,related_concept,Probability theory,2025-05-13 10:28:06.199,['Information theory'],[],set(),set(),0,3.390547263681592,5.375334499549137e-305
7,40,Probability space,,https://en.wikipedia.org/wiki/Probability space,"In probability theory, a probability space or a probability triple 
  
    
      
        (
        Ω
        ,
        
          
            F
          
        
        ,
        P
        )
      
    
    {\displaystyle (\Omega ,{\mathcal {F}},P)}
  
 is a mathematical construct that provides a formal model of a random process or experiment.
A probability space consists of three elements:

A sample space, 
  
    
      
        Ω
      
    
    {\displaystyle \Omega }
  
, which is the set of all possible outcomes of a random process under consideration.
An event space, 
  
    
      
        
          
            F
          
        
      
    
    {\displaystyle {\mathcal {F}}}
  
, which is a set of events, where an event is a subset of outcomes in the sample space.
A probability function, 
  
    
      
        P
      
    
    {\displaystyle P}
  
, which assigns, to each event in the event space, a probability, which is a number between 0 and 1 (inclusive).
In order to provide a model of probability, these elements must satisfy probability axioms.
For example, one can define a probability space which models the throwing of a dice:

The sample space 
  
    
      
        Ω
      
    
    {\displaystyle \Omega }
  
 is typically the set 
  
    
      
        {
        1
        ,
        2
        ,
        3
        ,
        4
        ,
        5
        ,
        6
        }
      
    
    {\displaystyle \{1,2,3,4,5,6\}}
  
 where each element in the set is a label which represents the outcome of the die landing on that label. For example, 
  
    
      
        1
      
    
    {\displaystyle 1}
  
 represents the outcome that the die lands on 1.
The event space 
  
    
      
        
          
            F
          
        
      
    
    {\displaystyle {\mathcal {F}}}
  
 could be the set of all subsets of the sample space, which would then contain simple events such as 
  
    
      
        {
        5
        }
      
    
    {\displaystyle \{5\}}
  
 (""the die lands on 5""), as well as complex events such as 
  
    
      
        {
        2
        ,
        4
        ,
        6
        }
      
    
    {\displaystyle \{2,4,6\}}
  
 (""the die lands on an even number"").
The probability function 
  
    
      
        P
      
    
    {\displaystyle P}
  
 would then map each event to the number of outcomes in that event divided by 6 – so for example, 
  
    
      
        {
        5
        }
      
    
    {\displaystyle \{5\}}
  
 would be mapped to 
  
    
      
        1
        
          /
        
        6
      
    
    {\displaystyle 1/6}
  
, and 
  
    
      
        {
        2
        ,
        4
        ,
        6
        }
      
    
    {\displaystyle \{2,4,6\}}
  
 would be mapped to 
  
    
      
        3
        
          /
        
        6
        =
        1
        
          /
        
        2
      
    
    {\displaystyle 3/6=1/2}
  
.
When an experiment is conducted, it results in exactly one outcome 
  
    
      
        ω
      
    
    {\displaystyle \omega }
  
 from the sample space 
  
    
      
        Ω
      
    
    {\displaystyle \Omega }
  
. All the events in the event space 
  
    
      
        
          
            F
          
        
      
    
    {\displaystyle {\mathcal {F}}}
  
 that contain the selected outcome 
  
    
      
        ω
      
    
    {\displaystyle \omega }
  
 are said to ""have occurred"". The probability function 
  
    
      
        P
      
    
    {\displaystyle P}
  
 must be so defined that if the experiment were repeated arbitrarily many times, the number of occurrences of each event as a fraction of the total number of experiments, will most likely tend towards the probability assigned to that event.
The Soviet mathematician Andrey Kolmogorov introduced the notion of a probability space and the axioms of probability in the 1930s. In modern probability theory, there are alternative approaches for axiomatization, such as the algebra of random variables.",69b034ff4fe79d0745c1eecd_concept_3285076453331055078,related_concept,Probability theory,2025-05-13 10:28:06.199,[],[],set(),set(),0,2.096638655462185,5.436655662486728e-305
8,42,Logistic model tree,,https://en.wikipedia.org/wiki/Logistic model tree,"In computer science, a logistic model tree (LMT) is a classification model with an associated supervised training algorithm that combines logistic regression (LR) and decision tree learning.
Logistic model trees are based on the earlier idea of a model tree: a decision tree that has linear regression models at its leaves to provide a piecewise linear regression model (where ordinary decision trees with constants at their leaves would produce a piecewise constant model). In the logistic variant, the LogitBoost algorithm is used to produce an LR model at every node in the tree; the node is then split using the C4.5 criterion. Each LogitBoost invocation is warm-started from its results in the parent node. Finally, the tree is pruned.
The basic LMT induction algorithm uses cross-validation to find a number of LogitBoost iterations that does not overfit the training data. A faster version has been proposed that uses the Akaike information criterion to control LogitBoost stopping.",69b034ff4fe79d0745c1eecd_concept_8828196522819915144,related_concept,Logistic regression,2025-05-13 10:28:06.199,['Logistic model tree'],[],set(),set(),0,0.34459459459459457,0.9927818977933914
9,46,Probit model,,https://en.wikipedia.org/wiki/Probit model,"In statistics, a probit model is a type of regression where the dependent variable can take only two values, for example married or not married. The word is a portmanteau, coming from probability + unit. The purpose of the model is to estimate the probability that an observation with particular characteristics will fall into a specific one of the categories; moreover, classifying observations based on their predicted probabilities is a type of binary classification model.
A probit model is a popular specification for a binary response model. As such it treats the same set of problems as does logistic regression using similar techniques. When viewed in the generalized linear model framework, the probit model employs a probit link function. It is most often estimated using the maximum likelihood procedure, such an estimation being called a probit regression.",69b034ff4fe79d0745c1eecd_concept_774229696580029564,related_concept,Logistic regression,2025-05-13 10:28:06.199,[],[],set(),set(),0,1.360655737704918,0.5017841068014002
