,index,name,uri,wikipedia,abstract,cid,type,related_to,createdAt,abstract_contents,article_contents,category,super_category,relrel_concepts,link_ratio,entropy
0,278,Coffeehouse,,https://en.wikipedia.org/wiki/Coffeehouse,"A coffeehouse, coffee shop, or café, is an establishment that serves various types of coffee drinks like espresso, latte, americano and cappuccino, as well as other beverages. An espresso bar specializes in serving espresso and espresso-based drinks. Some coffeehouses may serve iced coffee among other cold drinks, as well as non-caffeinated drinks. A coffeehouse may also serve food, such as light snacks, sandwiches, muffins, cakes, breads, pastries or doughnuts. Many doughnut shops in Canada and the U.S. serve coffee to accompany doughnuts, so these can also be classified as coffee shops, although doughnut shops tend to be more casual and serve cheaper fare (suiting take-out and drive-through, popular in those countries). In continental Europe, some cafés even serve alcoholic drinks, and in West Asia may offer a flavored tobacco smoked through a hookah, called shisha in most varieties of Arabic or nargile in Levantine Arabic, Greek, and Turkish.
While café may mean a coffeehouse, it tends to have a different meaning in Britain: a diner or ""greasy spoon""; it is also used for a teahouse or other casual eating and drinking place. A coffeehouse may resemble a bar or restaurant, but differs from a cafeteria (a canteen, a restaurant without table service). Coffeehouse operation ranges from management of an independent venue by its owner to franchises of a large multinational corporation. 
From a cultural standpoint, a coffeehouse largely serves as a center of social interaction: it provides patrons with a place to meet, talk, read, write, entertain one another, or pass the time, whether individually or in small groups. A coffeehouse can serve as an informal social club for its regular members. From as early as the 1950s Beatnik era and the 1960s folk music scene, coffeehouses have hosted singer–songwriter performances, typically in the evening. The digital age saw the rise of the Internet café along similar principles.",69aae4c88fce8e37dc83926c_concept_4077897110319099887,main_concept,,2026-03-06 14:30:03.033,['Coffeehouse'],[],set(),set(),0,3.922222222222222,0.8847040239572534
1,279,Data and information visualization,,https://en.wikipedia.org/wiki/Data and information visualization,"Data and information visualization (data viz/vis or info viz/vis) is the practice of designing and creating graphic or visual representations of quantitative and qualitative data and information with the help of static, dynamic or interactive visual items. These visualizations are intended to help a target audience visually explore and discover, quickly understand, interpret and gain important insights into otherwise difficult-to-identify structures, relationships, correlations, local and global patterns, trends, variations, constancy, clusters, outliers and unusual groupings within data. When intended for the public to convey a concise version of information in an engaging manner, it is typically called infographics.  
Data visualization is concerned with presenting sets of primarily quantitative raw data in a schematic form, using imagery. The visual formats used in data visualization includes charts and graphs, geospatial maps, figures, correlation matrices, percentage gauges, etc..
Information visualization deals with multiple, large-scale and complicated datasets which contain quantitative data, as well as qualitative, and primarily abstract information, and its goal is to add value to raw data, improve the viewers' comprehension, reinforce their cognition and help derive insights and make decisions as they navigate and interact with the graphical display. Visual tools used include maps for location based data; hierarchical organisations of data; displays that prioritise relationships such as Sankey diagrams; flowcharts, timelines.
In addition, Narrative visualization is a method that uses visual elements such as charts, graphs, maps and the like to convey data or information. This approach blends data analysis, storytelling, and visualization to present information through structured narrative flows- using visuals not just to present statistics, but to tell a story through data. Its goal is to help people identify trends, patterns, and relationships in data through a compelling story-driven visual experience.
Emerging technologies like virtual, augmented and mixed reality have the potential to make information visualization more immersive, intuitive, interactive and easily manipulable and thus enhance the user's visual perception and cognition. In data and information visualization, the goal is to graphically present and explore abstract, non-physical and non-spatial data collected from databases, information systems, file systems, documents, business data, which is different from scientific visualization, where the goal is to render realistic images based on physical and spatial scientific data to confirm or reject hypotheses. 
Effective data visualization is well-sourced, appropriately contextualized, and presented in a simple, uncluttered manner. The underlying data is accurate and up-to-date to ensure insights are reliable. Graphical items are well-chosen and aesthetically appealing, with shapes, colors and other visual elements used deliberately in a meaningful and non-distracting manner. The visuals are accompanied by supporting texts. Verbal and graphical components complement each other to ensure clear, quick and memorable understanding. Effective information visualization is aware of the needs and expertise level of the target audience. Effective visualization can be used for conveying specialized, complex, big data-driven ideas to a non-technical audience in a visually appealing, engaging and accessible manner, and domain experts and executives for making decisions, monitoring performance, generating ideas and stimulating research.
Data scientists, analysts and data mining specialists use data visualization to check data quality, find errors, unusual gaps, missing values, clean data, explore the structures and features of data, and assess outputs of data-driven models. Data and information visualization can be part of data storytelling, where they are paired with a narrative structure, to contextualize the analyzed data and communicate insights gained from analyzing it to convince the audience into making a decision or taking action. This can be contrasted with statistical graphics, where complex data are communicated graphically among researchers and analysts to help them perform exploratory data analysis or convey results of such analyses, where visual appeal, capturing attention to a certain issue and storytelling are less important.
Data and information visualization is interdisciplinary, it incorporates principles found in descriptive statistics, visual communication, graphic design, cognitive science and, interactive computer graphics and human-computer interaction. Since effective visualization requires design skills, statistical skills and computing skills, it is both an art and a science. Visual analytics combines statistical data analysis, data and information visualization, and human analytical reasoning through interactive visual interfaces to help users reach conclusions, gain actionable insights and make informed decisions which are otherwise difficult for computers to do. Research into how people read and misread types of visualizations helps to determine what types and features of visualizations are most understandable and effective. Unintentionally poor or intentionally misleading and deceptive visualizations can function as powerful tools which disseminate misinformation, manipulate public perception and divert public opinion. Thus data visualization literacy has become an important component of data and information literacy in the information age akin to the roles played by textual, mathematical and visual literacy in the past.",69aae4c88fce8e37dc83926c_concept_8808040733832283336,main_concept,,2026-03-06 14:30:03.033,['Data and information visualization'],[],set(),set(),0,0.5391304347826087,4.757527016360637e-305
2,281,Feature engineering,,https://en.wikipedia.org/wiki/Feature engineering,"Feature engineering is a preprocessing step in supervised machine learning and statistical modeling which transforms raw data into a more effective set of inputs. Each input comprises several attributes, known as features. By providing models with relevant information, feature engineering significantly enhances their predictive accuracy and decision-making capability. 
Beyond machine learning, the principles of feature engineering are applied in various scientific fields, including physics. For example, physicists construct dimensionless numbers such as the Reynolds number in fluid dynamics, the Nusselt number in heat transfer, and the Archimedes number in sedimentation. They also develop first approximations of solutions, such as analytical solutions for the strength of materials in mechanics.",69aae4c88fce8e37dc83926c_concept_3569350137651300095,main_concept,,2026-03-06 14:30:03.033,['Feature engineering'],[],set(),set(),0,1.7486338797814207,0.7135963146348803
3,282,Dependent and independent variables,,https://en.wikipedia.org/wiki/Dependent and independent variables,"A variable is considered dependent if it depends on (or is hypothesized to depend on) an independent variable. Dependent variables are the outcome of the  test they depend, by some law or rule (e.g., by a mathematical function), on. Independent variables, on the other hand, are not seen as depending on any other variable in the scope of the experiment in question. Rather, they are controlled by the experimenter.",69aae4c88fce8e37dc83926c_concept_2878347622365072378,main_concept,,2026-03-06 14:30:03.033,[],[],set(),set(),0,6.276422764227642,4.2679453944344294e-305
4,283,Data warehouse,,https://en.wikipedia.org/wiki/Data warehouse,"In computing, a data warehouse (DW or DWH), also known as an enterprise data warehouse (EDW), is a system used for reporting and data analysis and is a core component of business intelligence. Data warehouses are central repositories of data integrated from disparate sources. They store current and historical data organized in a way that is optimized for data analysis, generation of reports, and developing insights across the integrated data. They are intended to be used by analysts and managers to help make organizational decisions.

The data stored in the warehouse is uploaded from operational systems (such as marketing or sales). The data may pass through an operational data store and may require data cleansing for additional operations to ensure data quality before it is used in the data warehouse for reporting.
The two main workflows for building a data warehouse system are extract, transform, load (ETL) and extract, load, transform (ELT).",69aae4c88fce8e37dc83926c_concept_8885889079825049056,main_concept,,2026-03-06 14:30:03.033,['Data warehouse'],[],set(),set(),0,3.0892018779342725,4.2882997108291535e-305
5,284,Email,,https://en.wikipedia.org/wiki/Email,"Electronic mail (usually shortened to email; alternatively hyphenated e-mail) is a method of transmitting and receiving digital messages using electronic devices over a computer network. It was conceived in the late–20th century as the digital version of, or counterpart to, mail (hence e- + mail). Email is a ubiquitous and very widely used communication medium; in current use, an email address (commonly local-part + @ + domain name) is often treated as a basic and necessary part of many processes in business, commerce, government, education, entertainment, and other spheres of daily life in most countries.
Email operates across computer networks, primarily the Internet, and also local area networks. Today's email systems are based on a store-and-forward model. Email servers accept, forward, deliver, and store messages. Neither the users nor their computers are required to be online simultaneously; they need to connect, typically to a mail server or a webmail interface to send or receive messages or download it.
Originally a text-only ASCII communications medium, Internet email was extended by MIME to carry text in expanded character sets and multimedia content such as images. International email, with internationalized email addresses using UTF-8, is standardized but not widely adopted.",69aae4c88fce8e37dc83926c_concept_132142111407973943,main_concept,,2026-03-06 14:30:03.033,['Email'],[],set(),set(),0,13.457070707070708,0.9256720271320125
6,286,Data integration,,https://en.wikipedia.org/wiki/Data integration,"Data integration is the process of combining, sharing, or synchronizing data from multiple sources to provide users with a unified view. There are a wide range of possible applications for data integration, from commercial (such as when a business merges multiple databases) to scientific (combining research data from different bioinformatics repositories).  
The decision to integrate data tends to arise when the volume, complexity (that is, big data) and need to share existing data explodes.  It has become the focus of extensive theoretical work, and numerous open problems remain unsolved. 
Data integration encourages collaboration between internal as well as external users. The data being integrated must be received from a heterogeneous database system and transformed to a single coherent data store that provides synchronous data across a network of files for clients. A common use of data integration is in data mining when analyzing and extracting information from existing databases that can be useful for Business information.",69aae4c88fce8e37dc83926c_concept_719248564992018846,main_concept,,2026-03-06 14:30:03.033,['Data integration'],[],set(),set(),0,2.276243093922652,4.4228812084473513e-305
7,287,Knowledge extraction,,https://en.wikipedia.org/wiki/Knowledge extraction,"Knowledge extraction is the creation of knowledge from structured (relational databases, XML) and unstructured (text, documents, images) sources. The resulting knowledge needs to be in a machine-readable and machine-interpretable format and must represent knowledge in a manner that facilitates inferencing. Although it is methodically similar to information extraction (NLP) and ETL (data warehouse), the main criterion is that the extraction result goes beyond the creation of structured information or the transformation into a relational schema. It requires either the reuse of existing formal knowledge (reusing identifiers or ontologies) or the generation of a schema based on the source data.
The RDB2RDF W3C group  is currently standardizing a language for extraction of resource description frameworks (RDF) from relational databases. Another popular example for knowledge extraction is the transformation of Wikipedia into structured data and also the mapping to existing knowledge (see DBpedia and Freebase).",69aae4c88fce8e37dc83926c_concept_6404524712692121065,main_concept,,2026-03-06 14:30:03.033,['Knowledge extraction'],[],set(),set(),0,1.2085561497326203,4.461863114329309e-305
8,288,Data preparation,,https://en.wikipedia.org/wiki/Data preparation,"Data preparation is the act of manipulating (or pre-processing) raw data (which may come from disparate data sources) into a form that can be readily and accurately analysed, e.g. for business purposes.
Data preparation is the first step in data analytics projects and can include many discrete tasks such as loading data or data ingestion, data fusion, data cleaning, data augmentation, and data delivery.
The issues to be dealt with fall into two main categories: 

systematic errors involving large numbers of data records, probably because they have come from different sources;
individual errors affecting small numbers of data records, probably due to errors in the original data entry.",69aae4c88fce8e37dc83926c_concept_4926395342210263607,main_concept,,2026-03-06 14:30:03.033,['Data preparation'],[],set(),set(),0,0.43478260869565216,4.4704492454607303e-305
9,290,Data set,,https://en.wikipedia.org/wiki/Data set,"A data set (or dataset) is a collection of data. In the case of tabular data, a data set corresponds to one or more database tables, where every column of a table represents a particular variable, and each row corresponds to a given record of the data set in question. The data set lists values for each of the variables, such as for example height and weight of an object, for each member of the data set.  Data sets can also consist of a collection of documents or files.
In the open data discipline, a data set is a unit used to measure the amount of information released in a public open data repository.  The European data.europa.eu portal aggregates more than a million data sets.",69aae4c88fce8e37dc83926c_concept_4319568118479246347,main_concept,,2026-03-06 14:30:03.033,['Data set'],[],set(),set(),0,10.084745762711865,4.349401487932901e-305
